imo,latitude,longitude,speed,positiontimestamp
9131137,21.3818333333333,72.2406666666667,0.1,2018-08-18 03:54:49.418000
9131137,21.3818333333333,72.2405,0.1,2018-08-18 04:48:50.809000
9131137,21.3815,72.2408333333333,0.1,2018-08-18 05:48:51.227000
9131137,21.3815,72.241,0,2018-08-18 06:00:50.533000
9131137,21.377,72.2388333333333,0.1,2018-08-18 07:51:48.344000
9131137,21.3765,72.2381666666667,0.3,2018-08-18 08:57:49.137000
9131137,21.3765,72.238,0.1,2018-08-18 09:51:51.093000
9131137,21.377,72.2391666666667,0.1,2018-08-18 10:33:49.241000
9131137,21.3791666666667,72.2418333333333,0.8,2018-08-18 11:39:49.893000
9131137,21.3816666666667,72.2403333333333,0.1,2018-08-18 12:57:49.220000
9131137,21.3815,72.2408333333333,0,2018-08-18 13:57:49.895000
9131137,21.3815,72.2408333333333,0,2018-08-18 14:57:50.534000
9131137,21.3813333333333,72.2408333333333,0,2018-08-18 15:45:49.375000
9131137,21.3811666666667,72.2411666666667,0.2,2018-08-18 16:45:49.166000
9131137,21.381,72.2413333333333,0,2018-08-18 17:27:48.003000
9131137,21.3766666666667,72.2396666666667,0.3,2018-08-18 18:57:49.906000
9131137,21.3765,72.2386666666667,0.1,2018-08-18 19:51:48.310000
9131137,21.3765,72.2386666666667,0.1,2018-08-18 20:21:48.718000
9131137,21.3766666666667,72.2385,0.1,2018-08-18 22:51:51.199000
9131137,21.3771666666667,72.2383333333333,0.1,2018-08-18 23:45:50.515000
9131137,21.3813333333333,72.2408333333333,0.1,2018-08-19 00:57:49.369000
9131137,21.3811666666667,72.2408333333333,0.2,2018-08-19 01:51:51.537000
9131137,21.3813333333333,72.2408333333333,0,2018-08-19 02:57:47.917000
9131137,21.3813333333333,72.2403333333333,0.2,2018-08-19 03:57:50.897000
9131137,21.3815,72.2403333333333,0.1,2018-08-19 04:33:49.505000
9131137,21.3813333333333,72.2405,0.2,2018-08-19 05:57:49.765000
9131137,21.3813333333333,72.2405,0.1,2018-08-19 06:51:47.666000
9131137,21.3811666666667,72.2398333333333,0.1,2018-08-19 07:51:50.161000
9131137,21.3775,72.2381666666667,1.1,2018-08-19 08:45:50.757000
9131137,21.3765,72.2396666666667,0,2018-08-19 09:51:50.792000
9131137,21.3783333333333,72.2421666666667,0.2,2018-08-19 12:27:48.795000
9131137,21.3808333333333,72.2413333333333,0.1,2018-08-19 13:57:49.936000
9131137,21.3801666666667,72.2418333333333,0,2018-08-19 14:57:47.800000
9131137,21.3811666666667,72.2408333333333,0.1,2018-08-19 15:51:48.257000
9131137,21.3811666666667,72.2408333333333,0.1,2018-08-19 16:57:49.781000
9131137,21.381,72.2411666666667,0,2018-08-19 17:45:49.782000
9131137,21.381,72.241,0.2,2018-08-19 18:15:48.332000
9131137,21.3766666666667,72.2398333333333,0.1,2018-08-19 21:51:50.205000
9131137,21.3765,72.2393333333333,0,2018-08-19 22:27:50.881000
9131137,21.3766666666667,72.2393333333333,0.1,2018-08-19 23:57:49.647000
9131137,21.3766666666667,72.2396666666667,0.1,2018-08-20 00:09:51.453000
9131137,21.3811666666667,72.2406666666667,0,2018-08-20 01:51:49.289000
9131137,21.3811666666667,72.2406666666667,0,2018-08-20 02:51:50.326000
9131137,21.381,72.241,0.2,2018-08-20 03:51:49.035000
9131137,21.3811666666667,72.2401666666667,0.2,2018-08-20 04:54:49.840000
9131137,21.3815,72.2406666666667,0.1,2018-08-20 05:54:48.356000
9131137,21.3815,72.2403333333333,0,2018-08-20 06:54:48.158000
9131137,21.3808333333333,72.2415,0.3,2018-08-20 07:54:48.859000
9131137,21.3798333333333,72.242,0.1,2018-08-20 08:30:51.006000
9131137,21.377,72.2401666666667,0.2,2018-08-20 10:48:50.247000
9131137,21.3766666666667,72.2395,0.1,2018-08-20 11:48:50.913000
9131137,21.3765,72.2398333333333,0,2018-08-20 12:48:48.082000
9131137,21.3766666666667,72.2396666666667,0,2018-08-20 13:30:51.437000
9131137,21.3805,72.2416666666667,0.2,2018-08-20 14:54:51.213000
9131137,21.381,72.2411666666667,0,2018-08-20 15:54:49.748000
9131137,21.3813333333333,72.2406666666667,0.1,2018-08-20 16:54:49.014000
9131137,21.381,72.2413333333333,0.1,2018-08-20 17:48:51.142000
9131137,21.381,72.2413333333333,0,2018-08-20 18:54:51.200000
9131137,21.3808333333333,72.2413333333333,0,2018-08-20 19:42:48.726000
9131137,21.3805,72.2416666666667,0,2018-08-20 20:24:48.154000
9131137,21.3786666666667,72.242,0.2,2018-08-20 21:06:49.632000
9131137,21.3768333333333,72.24,0.1,2018-08-21 00:54:48.385000
9131137,21.3783333333333,72.2416666666667,0.4,2018-08-21 01:54:49.229000
9131137,21.3808333333333,72.2415,0,2018-08-21 02:54:49.951000
9131137,21.3813333333333,72.2408333333333,0,2018-08-21 03:54:50.098000
9131137,21.3813333333333,72.2408333333333,0,2018-08-21 04:36:50.022000
9131137,21.3815,72.2403333333333,0.2,2018-08-21 05:54:49.226000
9131137,21.3815,72.2405,0,2018-08-21 06:48:50.339000
9131137,21.3815,72.2403333333333,0,2018-08-21 07:30:50.973000
9131137,21.3813333333333,72.2391666666667,0,2018-08-21 08:48:51.151000
9131137,21.3811666666667,72.2408333333333,0.7,2018-08-21 09:54:50.360000
9131137,21.3768333333333,72.2408333333333,0.2,2018-08-21 10:36:50.202000
9131137,21.3765,72.2403333333333,0.2,2018-08-21 11:48:47.843000
9131137,21.3765,72.2403333333333,0.1,2018-08-21 12:54:49.854000
9131137,21.3765,72.2406666666667,0.2,2018-08-21 13:30:47.890000
9131137,21.3765,72.2406666666667,0.1,2018-08-21 14:48:49.898000
9131137,21.3786666666667,72.243,0.8,2018-08-21 15:54:51.317000
9131137,21.3811666666667,72.242,0,2018-08-21 16:54:50.050000
9131137,21.3808333333333,72.2425,0.1,2018-08-21 17:54:50.289000
9131137,21.3808333333333,72.2423333333333,0,2018-08-21 18:54:48.000000
9131137,21.3811666666667,72.2418333333333,0,2018-08-21 19:54:48.588000
9131137,21.3808333333333,72.2421666666667,0.1,2018-08-21 20:48:47.646000
9131137,21.3805,72.2425,0.1,2018-08-21 21:36:47.874000
9131137,21.3766666666667,72.241,0,2018-08-21 23:54:49.921000
9131137,21.3766666666667,72.2408333333333,0.1,2018-08-22 00:18:47.842000
9131137,21.3766666666667,72.2406666666667,0.1,2018-08-22 01:36:48.325000
9131137,21.3785,72.2431666666667,0.4,2018-08-22 02:54:47.722000
9131137,21.3808333333333,72.2421666666667,0.1,2018-08-22 03:54:48.402000
9131137,21.381,72.2421666666667,0,2018-08-22 04:54:50.379000
9131137,21.381,72.242,0.1,2018-08-22 05:48:49.068000
9131137,21.3815,72.2411666666667,0.1,2018-08-22 06:42:51.047000
9131137,21.3813333333333,72.2415,0,2018-08-22 07:54:50.277000
9131137,21.3815,72.2408333333333,0.1,2018-08-22 08:48:48.368000
9131137,21.3806666666667,72.2425,0.2,2018-08-22 09:54:48.867000
9131137,21.3803333333333,72.2428333333333,0.1,2018-08-22 10:36:50.925000
9131137,21.3773333333333,72.2421666666667,0.2,2018-08-22 11:30:47.603000
9131137,21.3766666666667,72.2406666666667,0.1,2018-08-22 12:48:47.594000
9131137,21.3766666666667,72.2398333333333,0.1,2018-08-22 13:54:50.867000
9131137,21.3765,72.2401666666667,0,2018-08-22 14:54:49.496000
9131137,21.3768333333333,72.241,0.2,2018-08-22 15:54:48.523000
9131137,21.381,72.2421666666667,0.2,2018-08-22 16:54:48.448000
9131137,21.381,72.2421666666667,0,2018-08-22 17:48:48.730000
9131137,21.3811666666667,72.2421666666667,0.1,2018-08-22 18:00:50.289000
9131137,21.381,72.2421666666667,0.2,2018-08-22 19:12:48.254000
9131137,21.3813333333333,72.2418333333333,0.1,2018-08-22 20:54:48.172000
9131137,21.3808333333333,72.2425,0.1,2018-08-22 21:54:48.989000
9131137,21.3806666666667,72.2428333333333,0.2,2018-08-22 22:42:49.019000
9131137,21.3785,72.2428333333333,0.1,2018-08-22 23:30:47.634000
9131137,21.3766666666667,72.241,0.1,2018-08-23 00:36:47.735000
9131137,21.3765,72.2408333333333,0.1,2018-08-23 01:54:49.846000
9131137,21.3765,72.24,0.1,2018-08-23 02:54:48.006000
